Mot;Abréviation;Définition
TAREBE,;adj., Bourg.;adj.  Terrible  :  «  ç'ô  eun  p'tiô  taribe.  «  Bourg.  «  tariblc,  taribe,  tarbe.  »
TARRÉ,;s., m.;s.  m.  Terré,  couche  de  terre  argileuse  el  battue  que  les  pauvres  gens  placent  sur  leurs  greniers  pour  tenir  lieu  de  carreaux  ou  de  plan-  cher. On  terrait  el  même  on  garnissait  de  plâtre  les  greniers  :
TARTARI,;s., m.;s.  m.  Sarrasin  de  Tarlarie,  polycjo-  num  tartaricum.  Le  «  tarlari  »  esl  très  en  vogue  dans  une  partie  de  notre  région  parce  qu'il  produit  plus  que  le  sarrasin  commun  et  redoute  moins  la  gelée,  son  principal  ennemi.  Sa  qualité  est  très  inférieure.  Aussi  le  réserve-t-on  aux  volailles  et  aux  porcs.  Le  blé  noir  est  un  des  plus  précieux  dons  de  la  Providence  pour  le  Morvan.  Il  parait  probable  que  cette  plante  y  esl  d'une  importation  assez  récente  comme  la  pomme  de  terre.  M.  L.  Delisle  l'a  vue  mentionnée  pour  la  première  fois  en  1460  :
TARTELÉE,;s., f.;s.  f.  Rhinanlhe  glabre  ou  crête  de  coq.  Celle  des  prés  est  appelée  vulgairement  herbe  aux  poux.  En  Berry,  «  tarlelle  »  ou  «  fré-  tas.» On  la  nomme  encore  ailleurs  «  tarelle,  tate-  relle.  »
TARTEVELLE,;s., f., fr.; f.  Crécelle  dont  on  se  sert  dans  les  villes  du  voisinage  pour  remplacer  les  cloches  pendant  les  offices  du  vendredi  saint.  Le  mot  était  autrefois  usité   en    fr.   et    l'instrument
TARTRE,;s., fr.;"s.  ni.  S'emploie  quelquefois  mais  rarement  pour  éminence  de  terrain  comme  le  fr.  tertre.  La  prononciation  de  l'e  en  a  est  très  an-  cienne puisque  le  Dict.  top.  de  la  Nièvre  nous  offre  le  nom  de  lieu  le  Tartre,  en  1371,  appelé  le  Tertre  au  XVIP  siècle.  Le  genre  du  mot  n'a  ja-  mais été  bien  fixé  dans  la  région  morvandelle  au  moins.  En  effet,  l'écart  de  la  c'""=  de  Corancy,  nommé  aujourd'hui  le  Tartre,  était  écrit  la  Tartre  en  1760.  Nous  voyons  aussi  que  le  hameau  détruit  de  la  c""*  de  Vauclaix,  dont  il  est  parlé  plus  haut,  figure  dans  le  registre  des  fiefs  sous  la  forme  fé-  minine la  Tartre.  Diez  explique  le  vocable  tertre  dont  l'origine  est  incertaine  par  une  crase  du  latin  terrœ  torus.  Nous  remarquons  à  l'appui  de  cette  origine  que  dans  la  contrée  nivernaise  et  bourg.  «  terreau  »  ou  «  tarreau  »  désigne  généralement  des  élévations  de  terrain  :  le  Terreau-de-Poil.  c""*'  de  Poil  ;  les  Terreaux,  faubourg  de  Lormes  ;  Tarreau,  le  Tarreau,  c""°  de  Vandenesse  et  de  Biches.  (Voy.  Teureai,  Teureau.)"
TAS,;plur., Morv., n.; de  l'adj.  poss.  ton,  ta.  Tes  :  «  tas  çans,  tas  mâïons  »,  tes  champs,  tes  maisons.  Morv.  n.
TAS;loc., fr., fr.; loc.  A  tas,  en  masse,  en  grande  quan-  tité. Le  fr.  tirer  dans  le  tas  signifie  tirer  sur  la  niasse,  sur  un  groupe  plus  ou  moins  considérable.  Le  vi.  fr.  frapper  à  tas  a  la  même  valeur  à  peu  près  :
TÀTER,;a.;" v.  a.  Goiiter,  manger  ou  boire  en  pe-  tite quantité  pour  essayer  ou  apprécier  une  chose  ;  Je  ne  sais  si  le  vin  est  bon,  je  n'en  ai  point  «  tâté.  »  Le  terme  goûter,  synon.  do  k  tâter  »,  est  inconnu  dans  notre  patois.  Se  dit  aussi  pour  manger  :  je  n'ai  rien  «  tâté  »  aujourd'hui,  je  n'ai  rien  mangé."
TATILLON,;s., m., fr.;" m.  Celui  qui  s'occupe  de  minu-  ties, qui  se  mêle  de  tout,  qui  touche  à  tout.  En  fr.  tâte-poule,  individu  trop  minutieux  qui  est  appelé  «  tâte-minctte  »  en  Normandie  :  ""  tâte-au-  pôt  j>  en  Berry,  et  «.  tâte-mes-glaines  ""  (gelinesi  on  Picardie.  Ce  dernier  sobriquet  est  l'équivalent  <lu  suisse  rom.  «  tata-djenelhe.  >>"
TÀTILLOUNER,;n.; v.  n.  S'occuper  de  minuties,  aller  et  venir  en  touchant  à  tout.  Le  berrichon  «  tatiller  =  tâtillouner.  »
TAU,;s., m., Champ.;" m.  Sauvageon,  tige  sur  laquelle  on  greffe  les  bonnes  espèces  de  fruits.  Champ.  «  tôt  •>.  sycomore  ;  —  Suisse  romande  :  «  tau  »,  houx.  En  Lorraine  «  été  su  tau  »  =  être  sur  pied."
TAUGEK,;n., fr., Morv., n., Bourg., loc., loc., fr.;à  grands  pas,  faire  de  grandes  enjambées,  sauter  avec  force.  Le  verbe  fr.  patauger  exprime  le  sens  opposé  à  notre  terme  patois.  L'auteur  ou  l'orateur  qui  patauge  est  celui  qui  ne  «  tauge  »  pas.  Morv.  n.  Notre  mot  serait-il  une  variante  de  tâcher  avec  le  sens  de  faire  un  effort  ?  En  Bourg.  «  tâcher  moyen  »  est  une  loc.  qui  signifie  s'efforcer.  La  même  loc.  à  Genève  est  usitée  pour  faire  diligence,  aller  très  vite  en  be-  sogne. Palsgrave,  -  p.  710,  -  dit  tauxer  pour  taxer  =  tâcher  par  le  1.  taxare.  En  vi.  fr.  fausser,  tau-  cer.  (Duc.  à  Ta.vare.)  L's  dans  notre  patois  se  change  quelquef.  en  g  ou  j.  (Voy.  Tajer.)
TAULE,;s., f., Bourg., fr.;f.  Table.  Usité  seulement  dans  une  partie  de  la  région.  En  Bourg.  «  taule.  »  Dans  son  gloss.  des  Noëls  La  Monnaye  dit  n'avoir  ja-  mais lu  ce  mot  chez  les  anciens  auteurs  mais  y  avoir  vu  tolée  en  burlesque  pour  exprimer  un  certain  nombre  de  personnes  attablées.  Tolée  ou  plutôt  taulée  figure  en  effet  dans  un  grand  nombre  de  patois  avec  la  même  valeur  que  tablée,  ren-  fermant par  extension  l'idée  d'une  réunion  nom-  breuse, d'une  quantité  de  personnes,  mais  taule  pour  table  se  montre  assez  souvent  en  vi.  fr.  et  dans  le  roman  provençal  :
TAUPINE,;s., f.;s.  f.  Topinambour.  Ménage  et  Fure-  tière  disent  à  tort  «  taupinambour,  espèce  de  ra-  cine autrement  appelée  pomme  de  terre.  »  Dans  Comenius,  -  p.  33,  -  toupinambours  ou  pain  pour-  ceau. Le  nom  nous  vient,  parait-il,  du  pays  des  Topinamboux,  peuplade  du  Brésil.
TAURE,;s., f.;TAURIE,  s.  f.  Génisse,  vache  qui  n'a  pas  encore  vêlé.  Le  mot  «  taurie  »  s'applique  sou-  vent à  une  jeune  vache  tandis  que  «  taure  »  ne  désigne  ordinairement  qu'un  veau  femelle.
T'CER,;V., a., Morv., n.;a.  Toucher,  frapper,  battre  :  «  n'  1'  téce  pâ  »,  ne  le  frappe  pas.  Morv.  n.  «  T'cer  »  est  une  contraction  de  toucher  ou  plutôt  de  tecer  forme  en  c  doux  pour  ch.
TE,;s., m.;s.  m.  Galle,  protubérance  qui  se  forme  quelquefois  sur  le  dos  ou  les  reins  du  bétail  à  cornes,  surtout  dans  la  jeunesse.  On  regarde  ces  protubérances  comme  une  marque  de  croissance  et  de  santé.  Lorsqu'elles  crèvent  il  en  sort,  dit-  on,  un  insecte  ou  un  ver.
TÉ,;s., m., Morv., n., Norm.; Salamandre  terrestre  assez  commune  dans   les  lieux    humides    :    méchant,  comme  un  «  té  »,  c'est-à-dire  très  méchant,  est  un  des  dic-  tons du  pays.  En  Morv.  n.  «  ta  »  comme  en  Berry.  Dans  cette  dernière  région  le  dicton  assure  que  :  Si  le  Ta  entendait  Si  l'orvet  voyait  Le  monde  bientôt  finirait.  En  Norm.   le  «  tas  »   passe  pour  venimeux  et  par  surcroît,  orgueilleux  :  «  fier  comme  un  tas.  »  Celui  qui  le  tue  gagne,  assure-t-on,    cent  jours  d'indulgence.  Cette  assertion  est  un  conte  et  la  mauvaise  renommée  du  «  té  »  est  une  calomnie.  Nous  considérons  aussi  le  «  té  »  comme  un  reptile  dangereux  mais  on  ne  peut  que  lui  appliquer,  à  lui  comme  à  l'orvet,  les  vers  de  La  Fontaine  :  Cet  animal  est  bien  méchant,  Quand  on  l'attaque  il  se  défend.  (Voy.  Lanviau.]
TÉBÉ,;s., m.;s.  m.  Tabac  aux  env.de  Château-Chinon,  à  Montigny-sur-Oanne  notamment.
TÉBÉTIÉRE,;s., f.;s.  f.  Tabatière,  boite  à  tabac.
TÉBIÉ,;s., m.;s.  m.  Tablier.  En  rom.  prov.  taulier  =  table  de  jeu.  (Voy.  Taule.)
TEBOUE,;adj., fr.;adj.  Surpris,  étonné.  N'est  guère  usité  que  dans  cette  locution  :  ce  i  n'  seu  pà  téboué  de  c'  qui  »,  supposant  toujours  que  la  personne  sur-  prise a  des  motifs  pour  ne  pas  s'étonner  outre  me-  sure. Ainsi  lorsqu'un  homme  a  longtemps  travaillé  à  manger  son  bien,  on  dira  qu'on  n'est  pas  «  té-  boué »  d'apprendre  qu'il  est  complètement  ruiné.  Le  mot  est-il  une  corruption  du  fr.  troublé  par  la  chute  de  l'r  ?  En  rom.  prov.  treble  =  trouble  :  treblar,  trebolar  =  troubler,  tourmenter.
TEC,;s., m., Morv., n.;m.  Toit,  étable,  écurie.  Le  «  tec  »  est  particulièrement  le  logis  des  porcs  et  dans  cette  acception  on  fait  sonner  le  c  :  un  «  téque  »  à  porcs.  Dans  le  Morv.  n.  toit  est  le  terme  usité  et  il  s'applique  aux  étables  de  toute  sorte.  Il  y  a  le  toit  des  bœufs,  des  vaches,  des  moutons,  des  co-  chons, des  poules,  etc.
TÉOHEURE,;s., f.;s.  f.  Tissage,  action  de  tisser  la  toile.
TÉCHU,;s., m.;s.  m.  Tissu,  étoffe  fabriquée  par  le  tisserand.
TEICHE,;s., f.;TICHE,  TISSE,  s.  f.  Gerbier,  meule  de  gerbes  entassées  dans  la  grange,  monceau  qu'on  construit  avec  plus  ou  moins  d'industrie  en  empilant  les  gerbes  les  unes  sur  les  autres.  Une  «  teiche  »  bien  faite,  bien  tondue  sur  sa  face  exté-  rieure et  montée  jusqu'au  comble  du  bâtiment,  ne  donne  pas  moins  de  satisfaction  au  cultivateur  qu'en  a  dû  procurer  à  Michel-Ange  la  vue  de  l'église  Saint-Pierre  de  Rome  coiffée  de  sa  mer-  veilleuse coupole.  Le  poëte  Ronsard  nomme  l'em-  placement où  se  bâtit  la  «  teiche  »  :
TEICHERAN,;s., f.;s.  f.  Tisserand,  celui  qui  tisse  la
A;s.; Jehan  Pilleboe,  Texier  en  toiles,  pour  avoir  fait  le  personnage  de  l'omme  sauvage  viij  s.  p.
TEILLER,;V., a., Morv., n.;a.  Tiller,  séparer  la  filasse  de  la  chènevotte.  Morv.  n.  «  tailler.  »  On  se  réunit  l'hiver  pour  cette  besogne,  en  grand  nombre  le  plus  souvent,  et  tandis  que  les  mains  accomplis-  sent leur  tâche  toute  machinale,  les  langues  se  meuvent  en  pleine  liberté.  Ces  veillées  de  teillage  au  coin  du  feu  ne  sont  pas  des  écoles  de  morale.  Elles  ont  de  l'analogie  avec  les  fameuses  écraignes  dijonnaises  que  nous  a  si  bien  fait  connaître  le  seigneur  des  Accords,  Etienne  Tabourot.  Dans  le  Dict.  èlijmol.  de  Ménage  :  teiller  du  chanvre  pour  tiller.  J.-J.  Rousseau  dit  aussi  teiller,  comme  Noël  du  Fail  :
TEILLERIE,;s., f., fr., fr.;f.  Assemblée  de  femmes  qui  tillent  le  chanvre,  réunion  de  «  teilleuses.  »  Le  Dict.  de  la  langue  fr.  dit  :  Tillage  ou  teillage,  action  de  teiller  le  chanvre  et  le  lin.  Le  bas-latin  teleria  a  désigné  le  lieu  où  l'on  tisse  la  toile.  En  vi.  fr.  telerie  s'appliquait  au  métier  du  tisseur  et  non  à  l'action  de  teiller  le  chanvre.  Le  tellier  de  toiles  était  le  tisserand  :
TEILLES,;s., f., plur.; f.  plur.  Tailles,  impositions  de  toute  nature.  Le  paysan  ne  voit  encore  dans  la  personne  du  percepteur  que  le  successeur  direct  de  M.  Harpin.  On  l'entend  gémir  comme  avant  1789  lorsqu'il  lui  faut  payer  ses  «  teil-  les. »  S'il  n'est  plus  soumis  à  la  taille  aux  quatre  cas,  il  a  sur  les  bras  les  contributions  directes  et  indirectes,  sans  parler  des  centimes  addi-  tionnels. Qu'il  le  veuille  ou  non,  le  contribuable  ne  cessera  jamais  d'être  taillable  et  môme  corvéable  sous  un  nom  plus  ou  moins  rafraîchi  et  édulcoré.  On  sait  qu'à  l'origine  les  tailles  étaient  des  inci-  sions faites  sur  des  morceaux  de  bois  comme  on  en  voit  encore  chez  les  boulangers  dans  certains  pays.  Ces  incisions  ou  entailles  faites  en  double  servaient  à  contrôler  les  fournitures  et  en  consé-  quence les  paiements.  Chacune  des  parties  inté-  ressées conservait  le  morceau  de  bois  qui  servait  au  contrôle  réciproque.  En  anglais  ta  tally  signifie  s'ajuster,  se  rapporter,  répondre  exactement.   IjC
TEILLOTTE,;s., f.;s.  f.  Action  de  teiller  le  chanvre  et,  par  extension,  la  soirée,  la  veillée  où  l'on  teille.  Le  tillage  du  chanvre  est  dans  nos  campagnes  un  divertissement  nocturne  plutôt  qu'un  travail.  Est-  ce  pour  ce  motif  qu'une  lettre  de  rémission  classe  cette  opération  parmi  les  jeux  ?
TEILLOU,;s.; OUSE,  s.  Teilleur,  celui  qui  tille  ou  teille  le  chanvre.
TEJIPLE,;s., f., fr.; f.  Tempe  comme  en  vi.  fr.  Dans  Palsg.,  -  p.  158  -,  une  temple  :
TENDEUMENT.;Morv., n.;Crase  de  temps  durement.  Ennui,  mélancolie.  On  dit  le  temps  me  «  deue  »  pour  le  temps  me  dure,  me  parait  long.  Morv.  n.  n.-o.  (Voy.  Deurer.)
TENDIOLE,;s., f., Morv., n.;f.  Panier  long  dont  on  se  sert  pour  décharger  les  pommes  de  terre.  Morv.  n.
TENDOU,;s., c.-à-d.;OUSE,  s.  Celui  qui  tend  des  pièges  :  un  «  tendon  »  de  pièges,  c.-à-d.  un  braconnier  qui
TENDUE,;s., f.;s.  f.  Cloison  en  briques  qui  forme  les  compartiments  d'une  habitation.  Cette  chambre  est  trop  grande,  on  y  fera  une  «  tendue.  »  Le  mot  appartient  au  langage  des  villes  plutôt  qu'au  patois  de  nos  campagnes  où  les  maisons  n'ont  le  plus  souvent  qu'une  chambre,  l'unique.
TENI,;a.;" T'NI,v.  a.  Tenir  avec  diverses  acceptions  étrangères  au  français.  Par  contraction,  la  pro-  nonc.  générale  est  «  t'ni.  »  Indic.  ijrésent  :  1  tin,  teu  tin,  a  tin  ;  i  t'non,  vôl'né,  a  t'nan  ;  —  Imparf.  i  t'nô  ;  —  Futur'  :  i  tinré,  teu  tinré,  a  tinré  ;  i  tin-  ron,  vô  tinré,  a  tinran  ;  —  Impér.  tin  ;  —  Subj.  qui  teune,  qu'  teu  teune,  qu'a  teune  ;  —  Partie,  prés,  t'nan  ;  —  Infinit,  t'ni."
TENOTTE,;s., f.;"TINETTE,  s.  f.  Vase  en  bois  où  on  lave  le  linge  et  qui  sert  à  divers  autres  usages.  Au  XVIl""  siècle  la  tinetto  se  vendait  dans  les  rues  de  Paria  :"
TENRE,;fr.; aclj.  des  deux  genres.  Tendre  comme  en  fr.  S'emploie  pour  mollasse,  mouvant.  Un  pré  où  l'on  enfonce  esl  «  tenre.  »  La  terre  est  «  tenre»  après  les  grandes  pluies.
TENRE,;a.;" v.  a.  Tendre  :  «  tenre  »  la  main,  donner  de  l'aide,  du  secours  ;  «  tenre  »  la  main  aux  pau-  vres, faire  l'aumône."
TENRE3IENT,;adv.; adv.  Tendrement,  avec  tendresse  :
TENTAULE,;adj.; adj.  Tentant,  qui  cause  le  désir,  la  tentation.  Un  cabaret  est  «  tentaule  »  pour  l'ivrogne.  Pas  un  ÎMorvandeau  ne  passera  au  pied  d'un  beau  bouleau  propre  à  faire  quelques  paires  de  sabots  sans  dire  ou  penser  que  le  maudit  arbre  est  bien  «  tentaule.  »
TERÈSE,;s., f.;s.  f.  Petit  manteau  de  femme  avec  capuchon.  La  mode  en  est  passée.
TERRASSE,;s., f., Morv., b., fr.; f.  Terrine,  petite  ouve  en  terre  cuite  qu'on  appelle  «  trappe  »  en  Morv.  b.  L'anc.  langue  donnait  le  nom  de  terrasse  à  des  ouvrages  en  terre  de  toute  nature.  En  fr.
TERTOUÉILLOU,;s., adj.;OUSE,  s.  et  adj.  Celui  ou  celle  qui  est  sale,  dont  les  vêtements  sont  souillés  de  boue  ou  d'ordure.  (Voy.  Patouéillou.)
TETAR,;s., m.;"s.  m.  Qui  a  une  grosse  tête;  une  tête.  un  faîte,  une  cime  difforme.  On  donne  souvent  le  nom  de  «  tctars  »  aux  gros  arbres  découronnçs."
TÊTE,;s., f., fr.; f.  Tête.  Se  dit  pour  chevet,  la  partie  du  lit  que  les  Italiens  nomment  le  capezzale.  En  fr.  tête,  dans  le  langage  des  tapissiers,  désigne  le  haut  d'un  rideau.  C'est  dans  cette  dernière  accep-  tion probablement  que  la  Manière  de  langage,  -  p.  384,  -  demande  au  pourvoyeur  d'un  ménage  :
TÉTER,;V., n.;V.  n.  Former  une  tête  ou  pomme.  Se  dit  de  certains  végétaux  et  principalement  des  choux.  (Voy.  Cabeacher.)
TEUCHER,;V., a., Morv., n., loc.; Toucher  de  la  main,  frapper,  battre.  Morv.  n.  «  teucer,  t'cer.  »  En  quelques  lieux  a  tocher.  «  Teucher  est  une  forme  loc.  pour  tucher  qu'on  rencontre  dans  l'anc.  langue  :
TEUJON,;s., m., n.; m.  Tison,  charbon  allumé.  :Mor-  van  n.  (Voy.  Aiteujer.)
TEUMER,;V., a., Morv., n., Bourg.; Verser,  répandre  :  «  teumcr  »  de  l'eau,  répandre  de  l'eau.  Morv.  n.  «  tourner.  >.  En  Bourg.  «  tumer  »  qui  est  une  forme  plus  régu-  lière du  même  mot  signifie  déborder.  L'ancienne  langue  donnait  aussi  le  sens  de  verser,  répandre,  au  verbe  tomber  :
TEUPIN,;s., m., fr.; m.  Vase,  écuelle,  assiette  en  poterie  grossière  où  l'on  met  la  pâtée  des  volailles  et  qu'on  dépose  à  leur  portée.  En  vi.  fr.  tupin,  pot  de  terre,  vase  en  général  :
TEURBOULER,;a.; v.  a.  Rouler,  faire  rouler  et  au  fîg.  malmener,  mener  rudement,  bousculer  :  «  ç'  mauvà-z-honm'  m'é  tote  teurboulée  pô  ran  »,  ce  mauvais  homme  m'a  toute  bousculée  pour  rien.  La  forme  régulière  serait  trébouler  ou  tribouler  :  Atant  se  départi  li  rois  dou  conseil  et  s'en  ala  en  Engleterre,  et  trouva  son  pais  Triboulei  et  les  gens
TEURBU,;s., m.;s.  m.  Tribut,  produit,  revenu  :  «  eun  mauvâ  pré  n'  beille  pà  d'  teurbu  »,  un  mauvais  pré  produit  peu.
TEURBULENT,;adj.; adj.  Turbulent,  querelleur,  tapageur.  S'emploie  substantiv.  :  «  ç'ô  eun  teur-  bulan.  »  Le  Poitou  transpose  souvent  l'r  dans  la  forme  «  tribulent.  »  Dans  la  région  «  turljule  »  =  dispute.
TEUREAI,;s., m., fr.; m.  Élévation  de  terre,  éminence  de  terrain.  Vi.  fr.  turel  et  turet,  tertre  élevé.  (Duc.  Turella,  Turellus,  Toros,  Toretus.]  Teu-  reai  est  une  variante  locale  du  mot  qui  suit.  La  forme  du  bourg,  pur  serait  «  turéa.  »
TEUREAU,;s., m., dimin.;" m.  Élévation  de  terre,  mon-  ticule, colline.  Notre  contrée  montagneuse  est  naturellement  remplie  de  «  teureaux  »  de  toute  sorte,  petits  et  grands.  Quelques  hameaux  ou  habitations  du  Morvan  portent  ce  nom  plus  ou  moins  déformé  par  les  habitudes  de  la  pro-  nonciation locale  :  les  Teuriaux,  le  Teureau-  de-Geai  dans  les  c""''''  de  Villapourçon  et  de  Re-  milly  ;  le  Theureau-de-la-Roche,  sur  un  des  pla-  teaux du  Beuvray  ;  les  Thureaux,  c""""  de  Varennes  et  de  Ciez  ;  le  Toureau-de-Fougère  ;  le  Toureau-  d'Houry,  c""""""  de  Dun-sur-Grandry.  Dans  les  Pyré-  nées le  dimin.  toron,  touron,  turon,  s'applique  à  un  grand  nombre  de  lieux  :  le  Turon,  les  Turons,  c""""  d'Andrein  et  d'Orion  ;  Tuturu,  montagnes  qdcs  d'Aincille    et   de    Lécumberry.    La    notation"
